No. Faktur;Tgl Faktur;Keterangan Barang;Kuantitas;Unit 1 Barang; Jumlah ;Keterangan;
CASH.02.072025.0422;03 Jul 2025;"PAKU 6""";0.10;KG; 4,000.00 ;;
CASH.02.072025.0424;03 Jul 2025;KENI 3/4 MASP;2.00;PCS; 7,000.00 ;;
CASH.02.072025.0424;03 Jul 2025;BTR JAYABRIX 7.5CM PJG 60;0.04;M3; 40,000.00 ;;
CASH.02.072025.0424;03 Jul 2025;"PVC MASPION 3/4"" AW";1.00;LJR; 33,000.00 ;;
CASH.02.072025.0424;03 Jul 2025;"SOK 3/4""";2.00;PCS; 3,000.00 ;;
CASH.02.072025.0425;03 Jul 2025;KENI 1/2 MSP;5.00;PCS; 10,000.00 ;;
CASH.02.072025.0426;03 Jul 2025;SERAT FIBER;2.00;LBR; 5,000.00 ;;
CASH.02.072025.0426;03 Jul 2025;AQUAPROOF ABU @1 KG;1.00;KLG; 56,500.00 ;;
CASH.02.072025.0427;03 Jul 2025;THINNER B BOTOL 1/2 L;1.00;KLG; 10,500.00 ;;
CASH.02.072025.0427;03 Jul 2025;ALTEX 83 DARK BROWN @1/2 KG;1.00;KLG; 53,000.00 ;;
CASH.02.072025.0428;03 Jul 2025;"PVC MASPION 3/4"" AW";-1.00;LJR; -33,000.00 ;;
CASH.02.072025.0429;03 Jul 2025;"PVC RUCIKA 3/4"" AW";1.00;LJR; 31,000.00 ;;
CASH.02.072025.0432;03 Jul 2025;SEMEN MERDEKA;6.00;ZAK; 264,000.00 ;;
CASH.02.072025.0434;03 Jul 2025;KLEM SELANG 3/4 + HAND PLASTIK;2.00;PCS; 7,000.00 ;;
CASH.02.072025.0439;03 Jul 2025;KENI 3/4 MASP;7.00;PCS; 24,500.00 ;;
CASH.02.072025.0439;03 Jul 2025;SEALTAPE AIR;1.00;PCS; 3,000.00 ;;
CASH.02.072025.0439;03 Jul 2025;"PAKU BETON 11/2"" ECERAN";20.00;PCS; 4,000.00 ;;
CASH.02.072025.0439;03 Jul 2025;"PVC MASPION 3/4"" AW";2.00;LJR; 66,000.00 ;;
CASH.02.072025.0439;03 Jul 2025;KLEM BESI 3/4;8.00;PCS; 12,000.00 ;;
CASH.02.072025.0439;03 Jul 2025;TEE 3/4 MASP;1.00;PCS; 5,000.00 ;;
CASH.02.072025.0445;03 Jul 2025;"SEKRUP HOLLOW 2""";15.00;PCS; 4,500.00 ;;
CASH.02.072025.0448;03 Jul 2025;BENANG NAT IKAT;2.00;PCS; 10,000.00 ;;
CASH.02.072025.0448;03 Jul 2025;SIPATAN ECERAN  1X2;3.00;MTR; 75,000.00 ;;
CASH.02.072025.0448;03 Jul 2025;PAKU BETON PUTIH 4;1.00;DOS; 11,000.00 ;;
CASH.02.072025.0449;03 Jul 2025;KENI 4 D MASP;9.00;PCS; 180,000.00 ;;
CASH.02.072025.0449;03 Jul 2025;LEM TRUGLUE KALENG 400 GRAM;1.00;KLG; 57,000.00 ;;
CASH.02.072025.0449;03 Jul 2025;MATA GERGAJI SANDFLEX 18 TPI;1.00;PCS; 15,000.00 ;;
CASH.02.072025.0449;03 Jul 2025;"SOK 3/4""";5.00;PCS; 7,500.00 ;;
CASH.02.072025.0450;03 Jul 2025;HOLLO G TUBE 4X4X0.4;1.00;LJR; 32,500.00 ;;
CASH.02.072025.0450;03 Jul 2025;TALANG ALMINI 0.3X100;1.00;MTR; 45,000.00 ;;
CASH.02.072025.0451;03 Jul 2025;REFILL KUAS ROL ACE BIRU 10MM;1.00;PCS; 18,000.00 ;;
CASH.02.072025.0453;03 Jul 2025;THINNER A SPC DRUM ECERAN;3.00;LTR; 55,500.00 ;;
CASH.02.072025.0453;03 Jul 2025;NIPPON HIGH EPOXY FILLER GREY;1.00;SET; 84,000.00 ;;
CASH.02.072025.0455;03 Jul 2025;KAWAT 16 TANGGUNG;40.00;MTR; 40,000.00 ;;
CASH.02.072025.0456;03 Jul 2025;SEMEN MERDEKA;7.00;ZAK; 301,000.00 ;;
CASH.02.072025.0456;03 Jul 2025;SEMEN ACIAN TR-30 @40KG;1.00;ZAK; 100,000.00 ;;
CASH.02.072025.0457;03 Jul 2025;TALANG KARET MERAH 90;10.00;MTR; 150,000.00 ;;
CASH.02.072025.0460;03 Jul 2025;KAIN MAJUN PUTIH;3.00;KG; 75,000.00 ;;
CASH.02.072025.0460;03 Jul 2025;KAPI GAGANG KARET 3;2.00;PCS; 24,000.00 ;;
CASH.02.072025.0460;03 Jul 2025;ISOLASI KERTAS TANGGUNG;4.00;PCS; 16,000.00 ;;
CASH.02.072025.0461;03 Jul 2025;PLASTIK COR;1.00;PCS; 27,500.00 ;;
CASH.02.072025.0462;03 Jul 2025;KAWAT LAS KUNINGAN;1.00;PCS; 15,000.00 ;;
CASH.02.072025.0463;03 Jul 2025;SEMEN GRESIK PPC 40KG;25.00;ZAK; 1,387,500.00 ;;
CASH.02.072025.0464;03 Jul 2025;FIBER MOTIF BAMBU PUTIH-HJ;1.50;MTR; 52,500.00 ;;
CASH.02.072025.0465;03 Jul 2025;BAK CAT MIRING;1.00;PCS; 10,000.00 ;;
CASH.02.072025.0465;03 Jul 2025;"KUAS ETERNA 4""";1.00;PCS; 20,000.00 ;;
CASH.02.072025.0465;03 Jul 2025;NIPPON ELASTEX BASE ACCENT @4 KG;1.00;GLN; 285,000.00 ;;
CASH.02.072025.0465;03 Jul 2025;NIPPON ELASTEX @1KG WHITE;1.00;KLG; 55,000.00 ;;
CASH.02.072025.0466;03 Jul 2025;SIPATAN 1x2;1.00;LJR; 110,000.00 ;;
CASH.02.072025.0466;03 Jul 2025;KABEL NYM ETERNA 2X1.5 100M;1.00;ROL; 989,000.00 ;;
CASH.02.072025.0467;03 Jul 2025;PARAGON PUTIH @1 KG;1.00;KLG; 36,000.00 ;;
CASH.02.072025.0468;03 Jul 2025;"KUAS ETERNA 3""";1.00;PCS; 13,000.00 ;;
CASH.02.072025.0469;03 Jul 2025;SEMEN HITAM 5 KG AN;1.00;BKS; 12,500.00 ;;
CASH.02.072025.0471;03 Jul 2025;ISOLASI KERTAS BESAR;1.00;PCS; 7,000.00 ;;
CASH.02.072025.0471;03 Jul 2025;"PAKU 3/4""";0.25;KG; 7,000.00 ;;
CASH.02.072025.0472;03 Jul 2025;KUAS MINIROLLER ACE BIRU GG PANJANG;1.00;PCS; 27,000.00 ;;
CASH.02.072025.0472;03 Jul 2025;NATURETONE 482;1.00;GLN; 170,000.00 ;;
CASH.02.072025.0473;03 Jul 2025;KRAN PVC ISCO 3/4;1.00;PCS; 17,000.00 ;;
CASH.02.072025.0473;03 Jul 2025;KENI DRAT 3/4 MSP;2.00;PCS; 7,000.00 ;;
CASH.02.072025.0473;03 Jul 2025;TEE 3/4 MASP;1.00;PCS; 5,000.00 ;;
CASH.02.072025.0474;03 Jul 2025;SERAT FIBER;10.00;LBR; 25,000.00 ;;
CASH.02.072025.0475;03 Jul 2025;STOP KONTAK BROCO 1B TUTUP;1.00;PCS; 35,000.00 ;;
CASH.02.072025.0475;03 Jul 2025;SAKLAR ENGKEL BROCO TANAM;1.00;PCS; 12,500.00 ;;
CASH.02.072025.0475;03 Jul 2025;VINILEX 300 WHITE;1.00;GLN; 148,000.00 ;;
CASH.02.072025.0476;03 Jul 2025;GEMBOK ATS 30 MM;1.00;PCS; 23,000.00 ;;
CASH.02.072025.0477;03 Jul 2025;REFILL KUAS ROL ACE BIRU 10MM;1.00;PCS; 18,000.00 ;;
CASH.02.072025.0478;03 Jul 2025;BAUT DRILLING 2.5 CM;100.00;PCS; 35,000.00 ;;
CASH.02.072025.0479;03 Jul 2025;THINNER B BOTOL 1/2 L;1.00;KLG; 10,500.00 ;;
CASH.02.072025.0480;03 Jul 2025;LEM RAJAWALI PVAC;1.00;PCS; 18,500.00 ;;
CASH.02.072025.0480;03 Jul 2025;SEMEN PUTIH BB @5 KG;1.00;BKS; 20,000.00 ;;
CASH.02.072025.0481;03 Jul 2025;MOWILEX WS 503 WALNUT;1.00;KLG; 95,000.00 ;;
CASH.02.072025.0482;03 Jul 2025;BENANG NAT IKAT;1.00;PCS; 5,000.00 ;;
CASH.02.072025.0483;03 Jul 2025;MAWAR 1001 SUPER WHITE;1.00;GLN; 65,000.00 ;;
CASH.02.072025.0484;03 Jul 2025;VINILEX 951 GREEN ROMANTIC;1.00;GLN; 148,000.00 ;;
CASH.02.072025.0489;03 Jul 2025;SEMEN MERDEKA;1.00;ZAK; 45,000.00 ;;
CASH.02.072025.0490;03 Jul 2025;GEMBOK ONAT 30MM LEHER PENDEK;1.00;PCS; 18,000.00 ;;
CASH.02.072025.0491;03 Jul 2025;KAIN MAJUN WARNA;1.00;KG; 12,000.00 ;;
CASH.02.072025.0491;03 Jul 2025;MOWILEX WS 504 AKASIA;1.00;KLG; 95,000.00 ;;
CASH.02.072025.0491;03 Jul 2025;MOWILEX WS CLEAR FINISH;1.00;KLG; 95,000.00 ;;
CASH.02.072025.0492;03 Jul 2025;KAWAT 16 TANGGUNG;5.00;MTR; 5,000.00 ;;
CASH.02.072025.0494;03 Jul 2025;"KRAN PVC ISCO 1/2""";1.00;PCS; 15,000.00 ;;
CASH.02.072025.0496;03 Jul 2025;VINILEX 1155A BRIGHT SMILE;1.00;GLN; 148,000.00 ;;
CASH.02.072025.0497;03 Jul 2025;PYLOX 1701 METALLIC SILVER;1.00;PCS; 30,000.00 ;;
CASH.02.072025.0497;03 Jul 2025;PYLOX 270 SURFACER;1.00;PCS; 30,000.00 ;;
CASH.02.072025.0497;03 Jul 2025;NEPTUNE PAINT REMOVER 1 KG;1.00;KLG; 67,000.00 ;;
CASH.02.072025.0498;03 Jul 2025;THINNER B BOTOL 1.5 L;1.00;PCS; 24,500.00 ;;
CASH.02.072025.0498;03 Jul 2025;ALTEX PUTIH @1 KG;1.00;KLG; 72,000.00 ;;
CASH.02.072025.0499;03 Jul 2025;SEMEN HITAM 5 KG AN;1.00;BKS; 12,500.00 ;;
CASH.02.072025.0499;03 Jul 2025;KAPI PVC 9;1.00;PCS; 4,000.00 ;;
CASH.02.072025.0499;03 Jul 2025;LEM RAJAWALI PVAC;2.00;PCS; 37,000.00 ;;
CASH.02.072025.0499;03 Jul 2025;SEMEN ACIAN TR-30 @40KG;1.00;ZAK; 102,000.00 ;;
CASH.02.072025.0500;03 Jul 2025;KRAN ANGSA FLEX EDO TROMPET WRN;1.00;PCS; 115,000.00 ;;
CASH.02.072025.0500;03 Jul 2025;ISOLASI KERTAS TANGGUNG;2.00;PCS; 8,000.00 ;;
CASH.02.072025.0500;03 Jul 2025;"KUAS ETERNA 3""";1.00;PCS; 13,000.00 ;;
CASH.02.072025.0500;03 Jul 2025;LEM RAJAWALI PVAC;4.00;PCS; 74,000.00 ;;
CASH.02.072025.0500;03 Jul 2025;EMCO 136 KIWI GREEN;2.00;KLG; 150,000.00 ;;
CASH.02.072025.0501;03 Jul 2025;SEMEN ACIAN TR-30 @40KG;1.00;ZAK; 102,000.00 ;;
CASH.02.072025.0502;03 Jul 2025;VINILEX 300 WHITE;1.00;GLN; 148,000.00 ;;
CASH.02.072025.0503;03 Jul 2025;KRAN ONDA BC 1/2;1.00;PCS; 32,000.00 ;;
CASH.02.072025.0503;03 Jul 2025;LEM PVC ISARPLAS TUBE 45 GRAM;1.00;PCS; 10,000.00 ;;
CASH.02.072025.0503;03 Jul 2025;SEALTAPE AIR;1.00;PCS; 3,000.00 ;;
CASH.02.072025.0503;03 Jul 2025;PAKU BETON 2 ECERAN;10.00;PCS; 3,000.00 ;;
CASH.02.072025.0503;03 Jul 2025;"KENI DRAT 1/2"" MASPION";1.00;PCS; 3,500.00 ;;
CASH.02.072025.0503;03 Jul 2025;"PVC MASPION 1/2"" AW";2.00;LJR; 54,000.00 ;;
CASH.02.072025.0503;03 Jul 2025;KENI 1/2 MSP;8.00;PCS; 16,000.00 ;;
CASH.02.072025.0503;03 Jul 2025;KLEM PVC 1/2;10.00;PCS; 20,000.00 ;;
CASH.02.072025.0503;03 Jul 2025;"TEE 1/2"" MSP";1.00;PCS; 2,500.00 ;;
CASH.02.072025.0503;03 Jul 2025;SOK 1/2 MSP;2.00;PCS; 2,000.00 ;;
CASH.02.072025.0504;03 Jul 2025;NO DROP 002 ABU @1KG;1.00;KLG; 56,000.00 ;;
CASH.02.072025.0505;03 Jul 2025;"KLEM SELANG 1"" + HAND PLASTIK";2.00;PCS; 8,000.00 ;;
CASH.02.072025.0505;03 Jul 2025;SEMPROTAN TAMAN PENCET HJ/ORG/UNGU;1.00;PCS; 25,000.00 ;;
CASH.02.072025.0506;03 Jul 2025;SAKLAR SERI BROCO TANAM;1.00;PCS; 17,000.00 ;;
CASH.02.072025.0507;03 Jul 2025;MATABOR BETON JORAN 6 MM;1.00;PCS; 23,000.00 ;;
CASH.02.072025.0508;03 Jul 2025;BESI 8 M (7.5X12);2.00;LJR; 76,000.00 ;;
CASH.02.072025.0509;03 Jul 2025;GEMBOK ONAT 30MM LEHER PENDEK;1.00;PCS; 18,000.00 ;;
CASH.02.072025.0510;03 Jul 2025;LEM SILICONE E-SEALANT NETRAL CLEAR;2.00;PCS; 64,000.00 ;;
CASH.02.072025.0510;03 Jul 2025;ALAT TEMBAK SILICONE TEBAL;1.00;PCS; 35,000.00 ;;
CASH.02.072025.0511;03 Jul 2025;"KRAN PVC ISCO 1/2""";-1.00;PCS; -15,000.00 ;;
CASH.02.072025.0512;03 Jul 2025;KRAN ONDA BL 1/2;1.00;PCS; 38,000.00 ;;
CASH.02.072025.0513;03 Jul 2025;"PAKU 3/4""";0.25;KG; 7,000.00 ;;
CASH.02.072025.0515;03 Jul 2025;MATABOR HITAM NACHI 5 MM;1.00;PCS; 35,000.00 ;;
CASH.02.072025.0515;03 Jul 2025;ISI CUTTER KENKO L-150;1.00;PCS; 10,000.00 ;;
CASH.02.072025.0516;03 Jul 2025;T MULTI KAKI 3 WARNA;1.00;PCS; 10,000.00 ;;
CASH.02.072025.0517;03 Jul 2025;FITING COLOK + SAKLAR;1.00;PCS; 8,000.00 ;;
CASH.02.072025.0519;03 Jul 2025;SEMEN HITAM 5 KG AN;1.00;BKS; 12,500.00 ;;
CASH.02.072025.0519;03 Jul 2025;PASIR SEKROP;2.00;SKP; 12,000.00 ;;
CASH.02.072025.0520;03 Jul 2025;SEMEN HITAM KILOAN;1.00;KG; 3,000.00 ;;
CASH.02.072025.0524;03 Jul 2025;GEMBOK ONAT 30 MM LEHER PANJANG;1.00;PCS; 19,000.00 ;;
CASH.02.072025.0524;03 Jul 2025;OVERPAL PUTIH 2;2.00;PCS; 8,000.00 ;;
CASH.02.072025.0526;03 Jul 2025;LEM G;5.00;PCS; 40,000.00 ;;
CASH.02.072025.0526;03 Jul 2025;DEMPUL SANPOLAC 4 KG;1.00;GLN; 160,000.00 ;;
CASH.02.072025.0528;03 Jul 2025;WD CUTTING 105X1.2X16;1.00;PCS; 3,500.00 ;;
CASH.02.072025.0530;03 Jul 2025;AMPLAS TY 400;2.00;LBR; 10,000.00 ;;
CASH.02.072025.0530;03 Jul 2025;AMPLAS 320;2.00;LBR; 10,000.00 ;;
CASH.02.072025.0530;03 Jul 2025;AMPLAS HC 1000;2.00;LBR; 10,000.00 ;;
CASH.02.072025.0531;03 Jul 2025;"ENGSEL SIKUTAN SAKURA 5""";1.00;PSG; 12,000.00 ;;
CASH.02.072025.0531;03 Jul 2025;BIO DS DECOMPOSING @1 LITER;1.00;PCS; 32,000.00 ;;
CASH.02.072025.0532;03 Jul 2025;SEMEN HITAM 5 KG AN;4.00;BKS; 50,000.00 ;;
CASH.02.072025.0533;03 Jul 2025;PYLOX 115 LIGHT SCARLET;2.00;PCS; 60,000.00 ;;
CASH.02.072025.0533;03 Jul 2025;PYLOX 109 BLACK;1.00;PCS; 30,000.00 ;;
CASH.02.072025.0534;03 Jul 2025;TIMBA HIJAU TC-15 BAGUS;1.00;PCS; 7,000.00 ;;
CASH.02.072025.0534;03 Jul 2025;"PAKU 3""";3.00;KG; 48,000.00 ;;
CASH.02.072025.0534;03 Jul 2025;PAKU BETON PUTIH 21/2;1.00;DOS; 10,000.00 ;;
CASH.02.072025.0534;03 Jul 2025;PAKU BETON PUTIH 3;1.00;DOS; 10,000.00 ;;
CASH.02.072025.0535;03 Jul 2025;FLEXIBLE ANYAM ONDA 40 CM;2.00;PCS; 90,000.00 ;;
CASH.02.072025.0535;03 Jul 2025;OBENG GG KARET USA 6 (-);1.00;PCS; 15,000.00 ;;
CASH.02.072025.0535;03 Jul 2025;SEALTAPE AIR;1.00;PCS; 3,000.00 ;;
CASH.02.072025.0536;03 Jul 2025;NIPPE 2000 480 MATT BLACK @1 KG;1.00;KLG; 85,000.00 ;;
CASH.02.072025.0537;03 Jul 2025;KARET PAKU PAYUNG;2.00;LBR; 4,000.00 ;;
CASH.02.072025.0537;03 Jul 2025;"PAKU PAYUNG 2""";0.50;KG; 15,000.00 ;;
CASH.02.072025.0537;03 Jul 2025;SENG GELOMBANG 240;6.00;LBR; 360,000.00 ;;
CASH.02.072025.0539;03 Jul 2025;MATABOR MULTIFUNGSI 6 MM LAZAR;1.00;PCS; 23,500.00 ;;
CASH.02.072025.0540;03 Jul 2025;"PAKU BIASA 3"" DOS";1.00;DOS; 355,000.00 ;;
CASH.02.072025.0541;03 Jul 2025;DEMPUL SANPOLAC 250 GRAM;1.00;KLG; 20,000.00 ;;
CASH.02.072025.0541;03 Jul 2025;"SEKRUP HOLLOW 1""";80.00;PCS; 10,000.00 ;;
CASH.02.072025.0542;03 Jul 2025;AMPLAS TAIYO 100;1.00;LBR; 5,000.00 ;;
CASH.02.072025.0542;03 Jul 2025;AMPLAS NP 150;1.00;LBR; 5,000.00 ;;
CASH.02.072025.0542;03 Jul 2025;SEMEN ACIAN TR 30 ECERAN;5.00;KG; 25,000.00 ;;
CASH.02.072025.0567;03 Jul 2025;WEATHERBOND DEEP (D) @ 1L;1.00;KLG; 169,000.00 ;;
CASH.02.072025.0568;03 Jul 2025;K 25X25 ROCKFORD BLUE;3.00;DOS; 180,000.00 ;;
CASH.02.072025.0569;03 Jul 2025;"PAKU 1""";0.25;KG; 7,000.00 ;;
CASH.02.072025.0570;03 Jul 2025;SEMEN HITAM KILOAN;3.00;KG; 9,000.00 ;;
CASH.02.072025.0572;03 Jul 2025;"PVC RUCIKA 2 1/2"" D";3.00;LJR; 223,500.00 ;;
CASH.02.072025.0574;03 Jul 2025;THINNER B BOTOL 1 LTR;1.00;KLG; 19,500.00 ;;
CASH.02.072025.0574;03 Jul 2025;BEE BRAND 1018 DEL FEGATO;1.00;KLG; 70,000.00 ;;
CASH.02.072025.0574;03 Jul 2025;"KUAS SPON 2""";1.00;PCS; 6,500.00 ;;
CASH.02.072025.0574;03 Jul 2025;NIPPON WOODSTAIN 101 WALNUT @1 L;1.00;KLG; 93,000.00 ;;
CASH.02.072025.0575;03 Jul 2025;"KUAS ETERNA 1""";1.00;PCS; 6,000.00 ;;
CASH.02.072025.0575;03 Jul 2025;THINNER B BOTOL 1/2 L;1.00;KLG; 10,500.00 ;;
CASH.02.072025.0576;03 Jul 2025;"SEKRUP HOLLOW 1""";8.00;PCS; 1,000.00 ;;
CASH.02.072025.0580;03 Jul 2025;"PVC MASPION 1/2"" AW";1.00;LJR; 27,000.00 ;;
CASH.02.072025.0580;03 Jul 2025;KENI 1/2 MSP;3.00;PCS; 6,000.00 ;;
CASH.02.072025.0585;03 Jul 2025;LEM RAJAWALI PVAC;1.00;PCS; 18,500.00 ;;
CASH.02.072025.0590;03 Jul 2025;SELANG TIMBANG 1/4 TGG;2.00;MTR; 6,000.00 ;;
CASH.02.072025.0592;03 Jul 2025;SODA API BESAR;1.00;PCS; 29,000.00 ;;
CASH.02.072025.0593;03 Jul 2025;CLOSED JONGKOK INA HIJAU;1.00;PCS; 200,000.00 ;;
CASH.02.072025.0595;03 Jul 2025;SELANG FLEXIBLE PUTIH 20MM;2.50;MTR; 17,500.00 ;;
CASH.02.072025.0597;03 Jul 2025;"KUAS ETERNA 3""";1.00;PCS; 13,000.00 ;;
CASH.02.072025.0599;03 Jul 2025;NITROLUX 200 GR 208 SUNSET;1.00;PCS; 23,000.00 ;;
CASH.02.072025.0603;03 Jul 2025;NITROLUX 100 GR 88 PACIFIC BLUE;1.00;PCS; 16,000.00 ;;
CASH.02.072025.0603;03 Jul 2025;"KUAS ETERNA 2""";1.00;PCS; 9,000.00 ;;
CASH.02.072025.0603;03 Jul 2025;AP HGE X105 LEMON OLE;1.00;KLG; 75,000.00 ;;
FJ-0725-000968;03 Jul 2025;BTR CITICON 10 CM PJG 60;1.00;M3; 650,000.00 ;LUNAS;
FJ-0725-000969;03 Jul 2025;PAKU BETON PUTIH 2;1.00;DOS; 10,000.00 ;LUNAS;
FJ-0725-000969;03 Jul 2025;PAKU BETON PUTIH 11/2;2.00;DOS; 20,000.00 ;LUNAS;
FJ-0725-000969;03 Jul 2025;KABEL NYM SUPREME 2X1.5 ECERAN;3.00;MTR; 42,000.00 ;LUNAS;
FJ-0725-000969;03 Jul 2025;"PVC MASPION 5/8"" C";15.00;LJR; 112,500.00 ;LUNAS;
FJ-0725-000969;03 Jul 2025;PASIR KEDIRI;0.60;M3; 155,000.00 ;LUNAS;
FJ-0725-000970;03 Jul 2025;ASBES GELOMBANG KECIL 210;1.00;LBR; 57,500.00 ;RP.106.000;
FJ-0725-000970;03 Jul 2025;SERAT FIBER;15.00;LBR; 37,500.00 ;RP.106.000;
FJ-0725-000970;03 Jul 2025;"KUAS ETERNA 3""";1.00;PCS; 13,000.00 ;RP.106.000;
FJ-0725-000970;03 Jul 2025;ENGSEL PIANO 3.5M;1.00;PSG; 30,000.00 ;RP.106.000;
FJ-0725-000970;03 Jul 2025;PAKU BETON PUTIH 2;2.00;DOS; 20,000.00 ;RP.106.000;
FJ-0725-000970;03 Jul 2025;AQUAPROOF ABU @4 KG;1.00;GLN; 206,000.00 ;RP.106.000;
FJ-0725-000970;03 Jul 2025;LASERCOOL 180;2.00;LBR; 232,000.00 ;RP.106.000;
FJ-0725-000971;03 Jul 2025;BTR BRICON 10CM PJG 60;4.00;M3; 2,440,000.00 ;RP.3.078.000;
FJ-0725-000971;03 Jul 2025;BESI 10 SNI (9.5X12) SRTF;4.00;LJR; 260,000.00 ;RP.3.078.000;
FJ-0725-000971;03 Jul 2025;BESI 8 SNI (7.6X12) / 7.5 SRTF;4.00;LJR; 168,000.00 ;RP.3.078.000;
FJ-0725-000971;03 Jul 2025;PAKU BETON PUTIH 3;2.00;DOS; 20,000.00 ;RP.3.078.000;
FJ-0725-000971;03 Jul 2025;BENDRAT BIASA;1.00;BDL; 15,000.00 ;RP.3.078.000;
FJ-0725-000971;03 Jul 2025;SEMEN BATA RINGAN A-PLUS 40 KG;2.00;ZAK; 130,000.00 ;RP.3.078.000;
FJ-0725-000971;03 Jul 2025;SELANG TIMBANG 1/4 TGG;15.00;MTR; 45,000.00 ;RP.3.078.000;
FJ-0725-000972;03 Jul 2025;DULUX WEATHERSHIELD PRO BASE A @20KG;1.00;PIL; 2,600,000.00 ;NKD IBAWA;
FJ-0725-000973;03 Jul 2025;BEE BRAND BS9097 PAPIER GREY;6.00;KLG; 420,000.00 ;NK ;
FJ-0725-000973;03 Jul 2025;TABUNG APAR 6 KG;4.00;PCS; 2,200,000.00 ;NK ;
FJ-0725-000974;03 Jul 2025;BTR FOCON/PLATINUM 10CM;1.50;M3; 870,000.00 ;LUNAS;
FJ-0725-000974;03 Jul 2025;SEMEN BATA RINGAN A-PLUS 40 KG;1.00;ZAK; 65,000.00 ;LUNAS;
FJ-0725-000975;03 Jul 2025;BESI 10 ULIR SERTIFIKAT;10.00;LJR; 715,000.00 ;NK ;
FJ-0725-000975;03 Jul 2025;BESI 8 SNI (7.6X12) / 7.5 SRTF;20.00;LJR; 880,000.00 ;NK ;
FJ-0725-000975;03 Jul 2025;SEMEN GRESIK PPC 40KG;40.00;ZAK; 2,320,000.00 ;NK ;
FJ-0725-000976;03 Jul 2025;BATA PRESS (MRH);300.00;PCS; 255,000.00 ;NK;
FJ-0725-000976;03 Jul 2025;SEMEN TIGA RODA PCC 40KG;5.00;ZAK; 262,500.00 ;NK;
FJ-0725-000977;03 Jul 2025;BATA BIASA / SEKAM;100.00;PCS; 80,000.00 ;NK KRM BSK;
FJ-0725-000977;03 Jul 2025;SEMEN GRESIK PPC 40KG;25.00;ZAK; 1,450,000.00 ;NK KRM BSK;
FJ-0725-000979;03 Jul 2025;THINNER A BIASA DRUM ECERAN;3.00;LTR; 54,000.00 ;NK KRM BSK;
FJ-0725-000979;03 Jul 2025;CALSIUM DSGM/GUNUNG MES 800;2.00;SAK; 94,000.00 ;NK KRM BSK;
FJ-0725-000979;03 Jul 2025;AMPLAS ROL 100;15.00;MTR; 135,000.00 ;NK KRM BSK;
FJ-0725-000979;03 Jul 2025;TALANG GALVALUM 0.25X90;50.00;MTR; 1,190,000.00 ;NK KRM BSK;
FJ-0725-001015;03 Jul 2025;CALSIUM DSGM/GUNUNG MES 800;3.00;SAK; 120,000.00 ;RP.1.081.500;
FJ-0725-001015;03 Jul 2025;SEMEN TIGA RODA PCC 40KG;7.00;ZAK; 367,500.00 ;RP.1.081.500;
FJ-0725-001015;03 Jul 2025;SEMEN MERDEKA;9.00;ZAK; 396,000.00 ;RP.1.081.500;
FJ-0725-001015;03 Jul 2025;SEMEN ACIAN TR-30 @40KG;2.00;ZAK; 198,000.00 ;RP.1.081.500;
FJ-0725-001016;03 Jul 2025;HCL;3.00;PCS; 36,000.00 ;NK DIBAWA;
FJ-0725-001017;03 Jul 2025;K 40X40 MURANO PUTIH;6.00;DOS; 300,000.00 ;NK;
FJ-0725-001017;03 Jul 2025;PASIR KEDIRI;0.30;M3; 112,500.00 ;NK;
FJ-0725-001017;03 Jul 2025;SEMEN GRESIK PPC 40KG;2.00;ZAK; 114,000.00 ;NK;
FJ-0725-001017;03 Jul 2025;VSE ANTIQUE WHITE 3903;1.00;GLN; 118,000.00 ;NK;
FJ-0725-001018;03 Jul 2025;DIAMOND WHEEL FUJIYAMA 110 MM DRY;1.00;PCS; 42,000.00 ;LUNAS;
FJ-0725-001018;03 Jul 2025;PASIR KEDIRI;0.30;M3; 92,500.00 ;LUNAS;
FJ-0725-001018;03 Jul 2025;SEMEN GRESIK PPC 40KG;1.00;ZAK; 57,000.00 ;LUNAS;
FJ-0725-001019;03 Jul 2025;BENDRAT BIASA;1.00;BDL; 15,000.00 ;LUNAS;
FJ-0725-001019;03 Jul 2025;SEMEN GRESIK PPC 40KG;10.00;ZAK; 570,000.00 ;LUNAS;
FJ-0725-001020;03 Jul 2025;GEROBAK PASIR ARCO;1.00;PCS; 675,000.00 ;NK GANDENG;
FJ-0725-001021;03 Jul 2025;GYPSUM A PLUS 120X240;40.00;LBR; 1,800,000.00 ;NK;
FJ-0725-001021;03 Jul 2025;KANAL C 75 C TRUS;10.00;LJR; 650,000.00 ;NK;
FJ-0725-001021;03 Jul 2025;PAKU BETON PUTIH 1;2.00;DOS; 20,000.00 ;NK;
FJ-0725-001021;03 Jul 2025;HOLLO GALVANIS 4X6 1,4 MM;9.00;LJR; 2,115,000.00 ;NK;
FJ-0725-001021;03 Jul 2025;HOLLO GALVANIS 4X6X1.3MM;2.00;LJR; 470,000.00 ;NK;
FJ-0725-001021;03 Jul 2025;URUNNER;60.00;PCS; 1,320,000.00 ;NK;
FJ-0725-001021;03 Jul 2025;"SEKRUP HOLLOW 1"" WANLY/VPR KOTAK";4.00;DOS; 160,000.00 ;NK;
FJ-0725-001022;03 Jul 2025;KAIN MAJUN PUTIH;3.00;KG; 75,000.00 ;NK DIBAWA;
